RowNumber,Exited,Pred_Prob
2473,1,0.809733476683
3782,1,0.805856908875
2915,1,0.801508219706
2856,1,0.800833618226
4470,1,0.798476383982
10957,1,0.796604817271
8054,1,0.795975568906
3145,1,0.795758758854
8188,0,0.792707872877
10260,1,0.791221373638
5004,1,0.790502187115
7767,1,0.790155331194
4359,0,0.789371166728
3538,1,0.787815502511
9206,1,0.78627960265
8662,1,0.786069465186
1742,1,0.785545882646
1507,0,0.784895660454
6197,1,0.784889373775
416,1,0.784805985904
4659,0,0.784581416416
6561,1,0.784579489054
10850,1,0.783971624485
9041,0,0.782951852186
4499,0,0.782169545619
528,1,0.782041571637
9201,0,0.781838743078
2732,1,0.781269457991
5927,1,0.78047809649
7633,1,0.779861667991
2106,1,0.779776376007
4732,1,0.779645932071
1448,1,0.779262241415
5331,1,0.776205141881
7003,1,0.773714699014
856,1,0.773676916441
7826,1,0.773551437001
1491,1,0.773384741435
2407,1,0.773101647064
1646,1,0.773014626356
2594,1,0.772686612981
10138,1,0.772328025099
4435,1,0.77195953632
5606,1,0.771843834184
7733,1,0.771784605144
6871,1,0.771211338883
9128,1,0.771178248706
3668,1,0.771004327606
4559,1,0.770927437753
3618,1,0.770845513481
8550,1,0.770732320995
9602,1,0.770427720863
10892,1,0.770321672191
6276,1,0.770310161161
10274,1,0.770282097913
10153,1,0.770262600674
7800,1,0.769824102002
5789,1,0.769573939477
5701,1,0.768841870913
10169,0,0.768428478244
7764,1,0.76794664964
631,1,0.766092865539
2168,1,0.765676060611
609,0,0.765549926959
6232,1,0.765468499258
10379,1,0.765379383854
2372,1,0.764444609135
8298,1,0.764442072386
9719,1,0.763796272405
1253,0,0.76330591724
5510,1,0.763210923
7008,1,0.762394140146
2540,1,0.762189365214
1373,1,0.762161595638
7206,0,0.762123823234
7226,0,0.76182073509
7813,1,0.761789533434
3074,1,0.761303389901
6519,1,0.761277527815
10331,0,0.761010874496
9820,0,0.760389044117
8910,1,0.759874622394
10527,1,0.758631283586
313,0,0.758317817297
6743,1,0.757941953325
598,1,0.756303361221
3119,1,0.756162276547
1070,1,0.756070542265
8748,1,0.75575629599
776,1,0.755412548319
4950,0,0.755151033066
9478,1,0.755138444333
4597,1,0.754996962495
7703,0,0.754927909049
7436,1,0.75481022301
7258,1,0.754479850735
179,1,0.753918874293
9533,1,0.753801666575
